quote,author,tag
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,"['learning', 'reading', 'seuss']"
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,['dumbledore']
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,['friendship']
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,"['misattributed-to-mother-teresa', 'paraphrased']"
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"['death', 'inspirational']"
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"['chocolate', 'food', 'humor']"
“We read to know we're not alone.”,William Nicholson,"['misattributed-to-c-s-lewis', 'reading']"
“Any fool can know. The point is to understand.”,Albert Einstein,"['knowledge', 'learning', 'understanding', 'wisdom']"
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"['books', 'library']"
“It is never too late to be what you might have been.”,George Eliot,['inspirational']
